,A,Prob,P
3374,0,0.3844660604929231,1
602,1,0.817821658735913,1
33580,0,0.2765644873258121,1
23082,0,0.04669530495844472,0
31569,0,0.07517390358802417,0
3341,0,0.15424863171669503,0
19920,0,0.8136681438593206,1
44628,1,0.4461092228897262,1
29606,0,0.06576801220846137,0
13820,0,0.1418738197314515,0
22854,1,0.573355786609618,1
19134,0,0.1472663384480175,0
22071,0,0.05816839398121378,0
1536,1,0.6771149434186744,1
18113,0,0.1294960381973029,0
36650,0,0.015768639401994394,0
35266,0,0.02258541228717167,0
34204,0,0.12032464164721592,0
10024,0,0.10955863442238752,0
23145,0,0.19224058766433108,0
21354,0,0.15658673284458624,0
14282,1,0.555788667070387,1
23517,1,0.858175845018114,1
13548,0,0.1685954492384694,0
5021,0,0.051146180783884394,0
25806,0,0.036172794785565295,0
19433,0,0.028031093041876374,0
11146,0,0.28960945994969484,1
34557,0,0.11383536256971892,0
18811,0,0.22658314043870398,1
4659,0,0.08581459773446458,0
32607,0,0.06832218385166147,0
590,1,0.8710709732277742,1
30542,0,0.16295044861823343,0
30366,0,0.08527394048263251,0
14888,0,0.24789987034500824,1
20090,1,0.30412727202716944,1
3779,0,0.7175957249535709,1
1432,0,0.14676975764355607,0
43082,1,0.5117193439984529,1
4711,0,0.029908412040707516,0
27471,0,0.010935269015931537,0
22477,0,0.2928591425607634,1
1659,0,0.21844038621528103,1
39145,0,0.05657573431163499,0
6563,0,0.017724486764857668,0
27639,0,0.27010267807803134,1
8419,0,0.1453076206558956,0
30815,1,0.749739146350358,1
36803,0,0.029699543012749262,0
31893,0,0.028926479517850587,0
43186,1,0.40466275209294306,1
33768,0,0.10128700091031945,0
20752,0,0.04860847894762345,0
7972,0,0.06368720188630242,0
4198,0,0.0554170097630655,0
44940,1,0.9092574674386458,1
30473,0,0.1049201752875885,0
15273,0,0.017586186491685554,0
15697,1,0.983740860220479,1
16152,0,0.02126106196955645,0
37010,0,0.021702231262754945,0
15073,0,0.058810245811341075,0
8642,1,0.7238826145134728,1
28772,0,0.06974585364359032,0
37193,0,0.10470225727392077,0
35315,0,0.7670352633791063,1
33090,0,0.389462664799728,1
31291,0,0.15188454617687716,0
28109,0,0.030328001344376236,0
3471,1,0.5759272014837016,1
23835,0,0.016246753389224697,0
31136,0,0.021990847506375807,0
33744,0,0.03790158755861458,0
4830,0,0.14419451583162562,0
32799,0,0.13376265790970143,0
22114,0,0.060434186553171516,0
26402,0,0.0952814475246709,0
17384,0,0.18300206490727444,0
17981,0,0.10461237270684354,0
43814,1,0.25986325056050374,1
8,1,0.12521528088919776,0
32056,0,0.2536104966948092,1
32800,0,0.09792754463369098,0
25940,0,0.011125310251517972,0
14649,1,0.3239521187930203,1
31670,1,0.2751451285222941,1
8051,0,0.2162169915424593,1
7438,0,0.19490991393222679,0
16834,0,0.048671646503142006,0
42447,1,0.37569166590178277,1
1834,0,0.04243936214982042,0
7400,0,0.07182236243793998,0
8625,0,0.193915042117951,0
1655,0,0.23123059548173794,1
42645,1,0.20155068277597174,1
15222,0,0.05234179398707554,0
13473,0,0.13652107963963944,0
27326,0,0.04331302191714459,0
18984,0,0.01138067671849323,0
32526,0,0.054209444091612546,0
19391,0,0.12691951550016237,0
12567,0,0.22762605738443759,1
25962,0,0.027491091534194673,0
35732,0,0.09302809057417158,0
44625,1,0.15073469010743004,0
35449,0,0.1965338479251401,0
9149,1,0.7795878662405326,1
18659,0,0.04323671295390524,0
25513,0,0.09873349830796876,0
25524,0,0.09275210583121218,0
22404,0,0.0717490828417306,0
9444,0,0.3072537075426876,1
15640,0,0.4510335042091205,1
38192,0,0.7903262379018384,1
41034,0,0.21843978658444976,1
41646,0,0.02602894783486075,0
8159,1,0.4077017734477768,1
30801,0,0.25577847044390756,1
9172,0,0.3873970840302077,1
36614,0,0.18395790211934362,0
10601,0,0.2976893331398214,1
15193,0,0.4801778043937676,1
44224,1,0.6672178114391865,1
18669,0,0.2953991316635224,1
21658,0,0.13907570139026088,0
8048,0,0.10424646947428816,0
26145,1,0.5156683385705265,1
622,1,0.4436643609949623,1
18141,0,0.12083711333029883,0
4170,0,0.07747766448732575,0
14023,0,0.05045275408498937,0
36315,0,0.24436281588760927,1
